,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
99,6075963,2018-11-01,Strategic developments,Non-violent transfer of territory,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,Menbij,Menbij,Um Jlud,36.6198,37.7897,Liveuamap,Turkish military forces took over the village of Um Jlud which had previously been under the control of YPG fighters.,0,1571164569
100,6044149,2018-10-30,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,Ain Al Arab,Ain al Arab,Ain al Arab,36.8891,38.3521,Liveuamap; SOHR,"Turkish military forces shelled near the town of Ain al Arab, killing 3 YPG fighters and injuring another.",3,1571164397
101,5680567,2018-10-17,Battles,Armed clash,YPG: Peoples Protection Units,,Former Operation Olive Branch,Islamist Militia (Syria),Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,SOHR,YPG sleeper cell fighters assassinated 2 Islamist faction fighters operating as part of former Operation Olive Branch in the Afrin area.,2,1564753647
102,6082744,2018-09-14,Battles,Armed clash,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,Liveuamap,"Military Forces of Turkey captured 9 YPG members in Afrin district, who had reportedly previously killed 2 Turkish soldiers. The captured YPG members were handed over to the Turkish police in Hatay province, Turkey. No injuries or fatalities reported.",0,1571164585
103,6043466,2018-08-29,Battles,Armed clash,Former Operation Olive Branch,Opposition Rebels (Syria); Islamist Militia (Syria),YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Burj Haydar,36.3430,36.9029,SOHR; Liveuamap,"Clashes took place between opposition and Islamist factions, under former Operation Olive Branch, against YPG in the vicinity of Burj Haydar of Afrin district in northern Aleppo countryside, amid an exchange of shelling barrages between both sides. Opposition reinforcements in the vicinity of the clash areas were ambushed by YPG and suffered casualties. Clashes in the vicinity of Fafertin and Burj Haydar resulted in the killing of 5 opposition rebels and the wounding of 2 others. Fatalities split between both events with 3 coded to Fafertin and 2 to Burj Haydar.",2,1571164396
104,5682434,2018-08-29,Battles,Armed clash,Former Operation Olive Branch,Opposition Rebels (Syria); Islamist Militia (Syria),YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Fafertin,36.3206,36.9061,SOHR,"Clashes took place between opposition and Islamist factions, under former Operation Olive Branch, against YPG in the vicinity of Fafertin of Afrin district in northern Aleppo countryside, amid an exchange of shelling barrages between both sides. Opposition reinforcements in the vicinity of the clash areas were ambushed by YPG and suffered casualties. Clashes in the vicinity of Fafertin and Burj Haydar resulted in the killing of 5 opposition rebels and the wounding of 2 others. Fatalities split between both events with 3 coded to Fafertin and 2 to Burj Haydar.",3,1564753649
105,6079135,2018-08-09,Battles,Armed clash,Former Operation Olive Branch,Opposition Rebels (Syria),YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Barad,36.3849,36.8981,Liveuamap,"2 YPG fighters were killed in ongoing security operations, suspected to be conducted by opposition rebels of former Operation Olive Branch, in Barad mountain in Afrin district of Aleppo province.",2,1571164581
106,6079638,2018-08-06,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,Liveuamap,"YPG targeted a Turkish armored vehicle on Afrin - Jandairis road, killing 2 Turkish soldiers and wounding 3 others.",2,1571164581
107,6076264,2018-07-31,Battles,Armed clash,YPG: Peoples Protection Units,,Former Operation Olive Branch,Opposition Rebels (Syria),Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,Liveuamap,Peoples Protection Units fighters opened fire and killed 3 fighters belonging to a rebel group that is part of former Operation Olive Branch.,3,1571164570
108,5683310,2018-07-30,Battles,Armed clash,Former Operation Olive Branch,,Former Operation Olive Branch,,Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,SOHR,Clashes took place between several factions once under former Operation Olive Branch in Afrin city as a result of disagreements on property and checkpoints. No fatalities were reported.,0,1564753652
